url,title,price,location,rooms,area,floor
https://krisha.kz/a/show/1007621528?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=63,2-комнатная квартира · 75 м² · 3/12 этаж,360 000 〒 за месяц,"Алмалинский р-н, Сейфуллина",,,
https://krisha.kz/a/show/1007678197?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=64,2-комнатная квартира · 75 м² · 5/10 этаж,360 000 〒 за месяц,"Бостандыкский р-н, Бухар Жырау",,,
https://krisha.kz/a/show/1007570136?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=65,2-комнатная квартира · 50 м² · 1/1 этаж,160 000 〒 за месяц,"Алатауский р-н, мкр Улжан-2 20 — Керегетас",,,
https://krisha.kz/a/show/1007693150?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=66,2-комнатная квартира · 70 м² · 1 этаж,450 000 〒 за месяц,"Бостандыкский р-н, мкр Ерменсай, Ерменсай ш/а. 49",,,
https://krisha.kz/a/show/1007547205?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=67,2-комнатная квартира · 52 м² · 7/9 этаж,350 000 〒 за месяц,"Медеуский р-н, Гоголя 75/1 — Тулебаева",,,
https://krisha.kz/a/show/672671725?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=68,1-комнатная квартира · 20 м² · 4/6 этаж,165 000 〒 за месяц,"Алмалинский р-н, Сейфулинна 402 — Райымбек",,,
https://krisha.kz/a/show/681521824?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=69,1-комнатная квартира · 34 м² · 3/3 этаж,250 000 〒 за месяц,"Бостандыкский р-н, Тимирязева 71А — Ауэзова",,,
https://krisha.kz/a/show/1004511112?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=70,2-комнатная квартира · 56.9 м² · 8/10 этаж,350 000 〒 за месяц,"Ауэзовский р-н, Мкр Аксай, Б. Момышулы 25 — Момышулы-Жубанова",,,
https://krisha.kz/a/show/1007368430?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=71,2-комнатная квартира · 59 м² · 3/9 этаж,300 000 〒 за месяц,"Наурызбайский р-н, мкр Шугыла, Мкрн Шугыла — Строительная уг.Грушевая",,,
https://krisha.kz/a/show/1007614943?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=72,2-комнатная квартира · 55 м² · 3/12 этаж,350 000 〒 за месяц,"Бостандыкский р-н, Симферопольская",,,
https://krisha.kz/a/show/1007621439?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=73,3-комнатная квартира · 85 м² · 3/12 этаж,450 000 〒 за месяц,"Бостандыкский р-н, Розыбакиева",,,
https://krisha.kz/a/show/698127370?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=74,2-комнатная квартира · 50 м² · 14/14 этаж,500 000 〒 за месяц,"Алмалинский р-н, Манаса 109а",,,
https://krisha.kz/a/show/1007204327?srchid=019ae9ad-704f-75ed-ba50-68e4495df25b&srchtype=filter&srchpos=75,2-комнатная квартира · 75 м² · 8/18 этаж,450 000 〒 за месяц,"Бостандыкский р-н, Гагарина 310",,,
